,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
V,V,Common Stock,Visa Inc. Class A,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies.",1403161,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","P.O. BOX 8999, SAN FRANCISCO, CA, US",September,2023-09-30,530196267000,22870000000.0,31.17,1.603,18.31,1.87,0.0081,8.33,15.95,0.529,0.66,0.156,0.465,32653001000,28567000000,8.33,0.217,0.106,283.68,31.17,26.04,16.24,13.69,16.25,23.45,0.951,263.25,207.52,250.92,238.18,1582520000,2023-12-01,2023-11-08
MO,MO,Common Stock,Altria Group,"Altria Group, Inc. (previously known as Philip Morris Companies, Inc.) is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in unincorporated Henrico County, Virginia, just outside the city of Richmond.",764180,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"6601 WEST BROAD STREET, RICHMOND, VA, US",December,2023-09-30,73434350000,12526000000.0,8.44,6.31,-1.925,3.8,0.0947,4.92,11.53,0.426,0.593,0.218,0.0,20561000000,14183000000,4.92,8.92,-0.025,46.09,8.44,8.31,3.571,27.3,4.707,7.93,0.669,44.96,38.17,41.04,43.61,1768650000,2024-01-10,2023-12-20
STZ,STZ,Common Stock,Constellation Brands Inc Class A,"Constellation Brands, Inc., headquartered in Victor, New York, is an American producer and marketer of beer, wine, and spirits.",16918,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"207 HIGH POINT DRIVE, BUILDING 100, VICTOR, NY, US",February,2023-08-31,44507058000,3437700000.0,28.41,1.927,51.13,3.38,0.0147,8.53,51.27,0.155,0.348,0.0767,0.159,9786000000,4711000000,8.53,-0.641,0.068,292.76,28.41,17.54,4.548,4.722,5.72,19.96,0.964,271.71,207.85,238.25,243.21,183663000,2023-11-17,2023-11-02
PEP,PEP,Common Stock,PepsiCo Inc,"PepsiCo, Inc. is an American based multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo's business encompasses all aspects of the food and beverage market. It oversees the manufacturing, distribution, and marketing of its products.",77476,NASDAQ,USD,USA,MANUFACTURING,BEVERAGES,"700 ANDERSON HILL RD, PURCHASE, NY, US",December,2023-09-30,237768868000,16125000000.0,28.82,2.567,13.68,4.83,0.0286,5.95,66.57,0.0905,0.179,0.0859,0.439,91617001000,46050000000,5.95,0.149,0.067,187.2,28.82,21.14,2.595,12.64,2.972,18.52,0.537,192.68,154.65,167.38,177.95,1374860000,2024-01-05,2023-11-30
SBUX,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",September,2023-09-30,106338288000,6976400000.0,26.06,1.276,-7.0,2.16,0.0245,3.59,31.37,0.115,0.172,0.12,0.0,35975598000,8385400000,3.59,0.394,0.114,113.68,26.06,22.52,2.956,-,3.52,17.11,0.984,113.67,88.72,98.61,99.65,1136700000,2024-02-23,2024-02-08
MCD,MCD,Common Stock,McDonald’s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",63908,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"110 NORTH CARPENTER STREET, CHICAGO, IL, US",December,2023-09-30,211611271000,13454000000.0,25.75,1.921,-6.69,6.08,0.0227,11.33,34.28,0.333,0.476,0.143,0.0,25014000000,13207200000,11.33,0.183,0.14,318.51,25.75,23.53,8.46,-,10.39,19.08,0.708,297.99,244.27,279.73,282.37,725342000,2023-12-15,2023-11-30
AMZN,AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",December,2023-09-30,1534191337000,73978003000.0,77.73,2.41,17.71,0.0,0.0,1.86,53.95,0.0362,0.0782,0.0361,0.125,554027975000,225152000000,1.86,2.357,0.126,178.73,77.73,38.61,2.769,8.38,2.901,21.83,1.163,155.63,87.08,144.3,128.47,10334000000,,
UPS,UPS,Common Stock,United Parcel Service Inc,United Parcel Service is an American multinational shipping & receiving and supply chain management company founded in 1907.,1090727,NYSE,USD,USA,ENERGY & TRANSPORTATION,TRUCKING & COURIER SERVICES (NO AIR),"55 GLENLAKE PARKWAY NE, ATLANTA, GA, US",December,2023-09-30,134212329000,13345000000.0,15.95,3.136,22.5,6.38,0.0411,9.84,108.07,0.0919,0.0714,0.089,0.473,93073998000,25086000000,9.84,-0.557,-0.128,164.26,15.95,16.0,1.442,7.0,1.637,10.07,1.055,191.91,132.13,150.65,167.88,723257000,2023-11-30,2023-11-10
MSFT,MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",June,2023-09-30,2754693038000,109483000000.0,35.97,2.211,29.7,2.79,0.0081,10.23,29.35,0.353,0.476,0.147,0.391,218310001000,135620000000,10.23,0.272,0.128,409.61,35.97,33.11,12.62,12.48,12.35,24.07,0.876,384.3,224.42,366.01,331.45,7432260000,2024-03-14,2024-02-14
AMD,AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2023-09-30,222536090000,3046000000.0,1252.28,1.897,34.04,0.0,0.0116,0.11,13.7,0.0094,0.0386,-0.0008,0.0038,22111001000,12051000000,0.11,3.5,0.042,138.0,1252.28,36.36,10.08,3.998,9.76,53.11,1.695,151.05,65.67,123.22,109.98,1615500000,,1995-04-27
NVDA,NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",January,2023-10-31,1185550696000,22161000000.0,62.91,0.478,13.49,0.16,0.0003,7.63,18.18,0.421,0.575,0.272,0.692,44870001000,15356000000,7.63,12.74,2.055,636.31,62.91,24.1,26.42,35.34,26.04,51.23,1.642,505.44,151.34,470.3,409.3,2470000000,2023-12-28,2023-12-05
HD,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",January,2023-10-31,341315158000,25472000000.0,21.97,2.075,1.436,2.09,0.0247,15.61,152.87,0.102,0.143,0.183,0.115,153714000000,52778000000,15.61,-0.101,-0.03,337.03,21.97,21.14,2.22,235.65,2.499,14.98,0.977,354.92,271.54,316.89,308.37,995262000,2023-12-14,2023-11-29
AXP,AXP,Common Stock,American Express Company,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,4962,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",December,2023-09-30,136377524000,,17.46,1.16,37.48,2.32,0.0129,10.72,73.44,0.147,0.22,0.0344,0.313,54379000000,28776000000,10.72,0.336,0.107,180.98,17.46,15.02,2.508,4.969,-,-,1.216,189.51,140.46,166.35,162.37,728746000,2024-02-09,2024-01-04
XOM,XOM,Common Stock,Exxon Mobil Corp,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.",34088,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"5959 LAS COLINAS BLVD, IRVING, TX, US",December,2023-09-30,412547088000,62528999000.0,10.24,1.689,50.39,3.64,0.0368,9.99,85.82,0.117,0.144,0.0888,0.212,350391009000,133715000000,9.99,-0.519,-0.164,126.48,10.24,10.68,1.177,2.066,1.216,5.28,0.96,119.61,95.51,103.16,107.82,3996770000,2023-12-11,2023-11-14
ICE,ICE,Common Stock,Intercontinental Exchange Inc,"The Intercontinental Exchange (ICE) is an American Fortune 500 company formed in 2000 that operates global exchanges, clearing houses and provides mortgage technology, data and listing services. The company owns exchanges for financial and commodity markets, and operates regulated exchanges and marketplaces.",1571949,NYSE,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","5660 NEW NORTHSIDE DRIVE,, THIRD FLOOR, ATLANTA, GA, US",December,2023-09-30,72020566000,4696000000.0,29.19,1.15,44.51,1.64,0.0134,4.31,13.48,0.32,0.499,0.0138,0.104,7555000000,7292000000,4.31,0.434,0.106,135.07,29.19,22.12,9.53,2.824,9.8,19.73,0.996,129.16,92.73,115.16,111.74,572364000,2023-12-29,2023-12-13
NKE,NKE,Common Stock,Nike Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,2023-11-30,155691401000,6814000000.0,29.83,1.969,9.3,1.39,0.0142,3.43,33.64,0.103,0.136,0.0986,0.36,51542000000,21479000000,3.43,0.212,0.005,123.46,29.83,28.41,3.021,11.19,3.116,26.49,1.12,129.63,88.36,109.89,109.5,1224010000,2024-01-02,2023-12-01
